x stockAtTime(x) CI/2 
0.0 37.50622222222222 0.24989640005676164 
5.0 16.983333333333334 0.24957071538231074 
10.0 16.77051282051282 0.24958980376273085 
15.0 17.04162962962963 0.2499585868529813 
20.0 16.86376488095238 0.2498951774096219 
25.0 16.894843049327353 0.2498742496566264 
30.0 16.9759009009009 0.24992667148873993 
35.0 17.018853695324285 0.24989784969784562 
40.0 16.95059523809524 0.24956859704573114 
45.0 16.580530303030304 0.24962196942617643 
50.0 16.8839312406577 0.24976964552491682 
55.0 16.80889894419306 0.24973957047055909 
60.0 16.97362962962963 0.24964792773032407 
65.0 16.839910313901346 0.2499529726639729 
70.0 16.926426426426428 0.24949895270411038 
75.0 16.841629297458894 0.24943158098714424 
80.0 17.016150442477876 0.24974761543402174 
85.0 16.89132730015083 0.249506656541858 
90.0 17.11431818181818 0.24956917868179607 
95.0 16.998065476190476 0.2495737657770882 
100.0 16.848948948948948 0.24947524074651714 
