x lostAtTime(x) CI/2 
0.0 0.0 0.0 
5.0 0.22777777777777777 0.18578713528929133 
10.0 1.596969696969697 0.24822525244548774 
15.0 3.1960317460317462 0.2494357476795645 
20.0 4.599435028248587 0.24761448357214497 
25.0 6.000877192982456 0.24920731605712854 
30.0 7.397407407407408 0.24944153430190963 
35.0 8.809480122324159 0.24936881440174274 
40.0 10.223544973544973 0.24911349249142029 
45.0 11.555281690140845 0.24919552984247267 
50.0 12.915180467091295 0.2497692343023749 
55.0 14.242624521072797 0.2494621023824364 
60.0 15.59485815602837 0.24943649423728909 
65.0 16.99138211382114 0.24999325864961736 
70.0 18.451726726726726 0.24976536836206534 
75.0 19.851195499296765 0.24973800651300238 
80.0 21.25479002624672 0.24955158327195917 
85.0 22.6380073800738 0.2497570811070935 
90.0 23.990766550522647 0.2495614575366349 
95.0 25.426457645764575 0.24955660653041548 
100.0 26.83385579937304 0.24973338330033573 
