x lostAtTime(x) CI/2 
0.0 0.0 0.0 
5.0 4.906798245614035 0.2486303424038295 
10.0 12.19774011299435 0.24975975256859742 
15.0 19.04466426858513 0.24985998910779403 
20.0 25.89575513851653 0.24965627355545522 
25.0 32.74150743099788 0.24976772064547245 
30.0 39.66945422535211 0.24978197713277478 
35.0 46.59189121756487 0.2497931213843792 
40.0 53.408322324966974 0.24986013089379208 
45.0 60.25575679172057 NaN 
50.0 67.21869340232858 NaN 
55.0 74.17080638206123 NaN 
60.0 81.08896075894782 NaN 
65.0 88.06095299698146 NaN 
70.0 95.06679603277274 NaN 
75.0 102.01442432082794 NaN 
80.0 108.94075032341526 NaN 
85.0 115.83417421302285 NaN 
90.0 122.77319965502372 NaN 
95.0 129.67037516170763 NaN 
100.0 136.56343251401466 NaN 
