x timeAtArrived(x) CI/2 timeAtServed(x) CI/2 
0.0 0.0 0.0 0.0 0.0 
1.0 10.18283304596449 0.24936306291481514 20.05135556404495 0.2495044756051563 
2.0 19.912385935135173 0.24983873975165463 34.390393805564145 0.2498682674154322 
3.0 29.94186605585642 0.24987766482628548 47.240143846516766 0.24995956332101668 
4.0 39.92445147053799 0.2498730423818242 59.40853623670647 0.24987247642122803 
5.0 49.946097881725834 0.24993765837351636 71.22554394427713 NaN 
6.0 59.89112124209562 NaN 82.86174403303737 NaN 
7.0 69.93516050067585 NaN 94.41001691689203 NaN 
8.0 79.97301359475493 NaN 105.82788191305595 NaN 
9.0 89.94299971663372 NaN 117.14409794891775 NaN 
10.0 99.94288441293996 NaN 128.43397510688393 NaN 
