x sizeAtTime(x) CI/2 
0.0 0.0 0.0 
10.0 0.3333333333333333 0.23620193147742552 
20.0 0.31666666666666665 0.2474791979302663 
30.0 0.4166666666666667 0.27494054116638567 
40.0 0.38333333333333336 0.25695927562766363 
50.0 0.4166666666666667 0.2958844216650806 
60.0 0.43333333333333335 0.29117508515695667 
70.0 0.35 0.3084141282896234 
80.0 0.4666666666666667 0.34777533248202636 
90.0 0.48333333333333334 0.35215227515392067 
100.0 0.5833333333333334 0.4245009858527887 
110.0 0.43333333333333335 0.38799101040596196 
120.0 0.6 0.3873485343725192 
130.0 0.7666666666666667 0.43861205920618407 
140.0 0.85 0.4469094542989361 
150.0 0.8166666666666667 0.4109057819903926 
160.0 0.8 0.4120256245216335 
170.0 0.8333333333333334 0.45467228445304003 
180.0 0.7666666666666667 0.40310335394666896 
190.0 0.6666666666666666 0.4115417422354647 
200.0 0.75 0.4113904123012306 
210.0 0.8083333333333333 0.3337153841507076 
220.0 0.8 0.32969443351552896 
230.0 0.7666666666666667 0.49616463257023186 
240.0 0.7833333333333333 0.4342462318259533 
250.0 0.75 0.490890833257927 
260.0 0.6833333333333333 0.47500651391049753 
270.0 0.5833333333333334 0.4138050502767926 
280.0 0.5833333333333334 0.3838281386508165 
290.0 0.5666666666666667 0.33863129615290516 
300.0 0.5166666666666667 0.34356015483824015 
310.0 0.5833333333333334 0.3383001523060716 
320.0 0.6 0.35514547366693294 
330.0 0.5 0.30192562789536187 
340.0 0.4666666666666667 0.3066729199273258 
350.0 0.43333333333333335 0.2807227908677061 
360.0 0.5333333333333333 0.34777533248202636 
370.0 0.75 0.3928077889685472 
380.0 0.85 0.4263743960780847 
390.0 0.75 0.3928077889685472 
400.0 0.7666666666666667 0.48396699557546163 
410.0 0.7666666666666667 0.4420060643621223 
420.0 0.6666666666666666 0.38914479424936455 
430.0 0.5833333333333334 0.3383001523060716 
440.0 0.7333333333333333 0.426520409710692 
450.0 0.6833333333333333 0.462250904217817 
460.0 0.5833333333333334 0.3838281386508165 
470.0 0.6166666666666667 0.38304865948047606 
480.0 0.6333333333333333 0.4126296794193829 
490.0 0.7666666666666667 0.4453742060163523 
500.0 0.7833333333333333 0.43767409371225424 
