x sizeAtTime(x) CI/2 
0.0 0.0 0.0 
10.0 0.6833333333333333 0.3391824841301095 
20.0 0.7833333333333333 0.3671116801772663 
30.0 0.9 0.4224129500532298 
40.0 0.95 0.3882156258217776 
50.0 1.05 0.4993420801832266 
60.0 1.1 0.3915402240018109 
70.0 1.2166666666666666 0.41549383649702254 
80.0 1.3833333333333333 0.4341820440195391 
90.0 1.3833333333333333 0.46933131763491565 
100.0 1.4416666666666667 0.48417722094200794 
110.0 1.5166666666666666 0.49899728862110887 
120.0 1.8222222222222222 0.42299930108694606 
130.0 1.95 0.4319469496610382 
140.0 2.077777777777778 0.47468845853433456 
150.0 2.1958333333333333 0.42226242293485333 
160.0 2.225 0.42536790376991235 
170.0 2.2625 0.4321714031090205 
180.0 2.4 0.4599682291890192 
190.0 2.5875 0.486846733640913 
200.0 2.5733333333333333 0.4717415065032406 
210.0 2.6933333333333334 0.4749598563112693 
220.0 2.87 0.48233998045519516 
230.0 2.9266666666666667 0.4990307278261441 
240.0 3.2472222222222222 0.4651080940276706 
250.0 3.308333333333333 0.47157291691145625 
260.0 3.561111111111111 0.48944665952363037 
270.0 3.5861111111111112 0.498288790672184 
280.0 3.683333333333333 0.4801272634694648 
290.0 3.8 0.491187639184201 
300.0 3.8604166666666666 0.47453600666794205 
310.0 3.9208333333333334 0.489078886138846 
320.0 4.077083333333333 0.4986172605950968 
330.0 3.9425925925925926 0.480052920028584 
340.0 4.044444444444444 0.48867167761800756 
350.0 4.114814814814815 0.4907854847951272 
360.0 4.275 0.4760994786465868 
370.0 4.363333333333333 0.4793352931840381 
380.0 4.47 0.48995902433469163 
390.0 4.621666666666667 0.4983556164904154 
400.0 4.536666666666667 0.49669900494691677 
410.0 4.678787878787879 0.47924328818258455 
420.0 4.734848484848484 0.48623842330569794 
430.0 4.733333333333333 0.4902657131438869 
440.0 4.773611111111111 0.4747430724369977 
450.0 4.786111111111111 0.48028078998710144 
460.0 4.808333333333334 0.4783623150484867 
470.0 4.8902777777777775 0.48543870276653833 
480.0 4.969444444444444 0.49418606882324434 
490.0 5.0152777777777775 0.49574973271246425 
500.0 5.1125 0.4995626506467954 
