x timeAtSold(x) CI/2 
0.0 0.0 0.0 
5.0 1.05 0.11500234497274713 
10.0 1.1833333333333333 0.17708113646058501 
15.0 1.55 0.1877722510769678 
20.0 1.9833333333333334 0.24176696190251437 
25.0 2.561111111111111 0.21084256185236935 
30.0 3.1666666666666665 0.24377377235892683 
35.0 3.5833333333333335 0.22518035212467838 
40.0 4.016666666666667 0.23184249212136268 
45.0 4.622222222222222 0.24815048374464446 
50.0 4.891666666666667 0.22011511614314372 
55.0 5.308333333333334 0.23845092173037438 
60.0 5.6625 0.24398435505643942 
65.0 6.17 0.23191771457817298 
70.0 6.6066666666666665 0.23920005909263267 
75.0 7.036666666666667 0.23955218908585563 
80.0 7.48 0.24490298491620538 
85.0 7.819444444444445 0.23171798881806555 
90.0 8.283333333333333 0.2404315787952714 
95.0 8.666666666666666 0.2419546134277292 
100.0 9.044444444444444 0.24125383313704893 
