x restockAtTime(x) CI/2 
0.0 0.0 0.0 
5.0 1.3833333333333333 0.15551384184645367 
10.0 3.15 0.2032743722070841 
15.0 5.0 0.2117364795613958 
20.0 7.0 0.19558568415779942 
25.0 8.891666666666667 0.20774691824851169 
30.0 10.741666666666667 0.23188097621737944 
35.0 12.677777777777777 0.20588927432448967 
40.0 14.6 0.2228620361320882 
45.0 16.56111111111111 0.23704337261818648 
50.0 18.620833333333334 0.21145181907019686 
55.0 20.55 0.21856111197577618 
60.0 22.504166666666666 0.23189855193979847 
65.0 24.429166666666667 0.2383797449764598 
70.0 26.366666666666667 0.22397362569451035 
75.0 28.31 0.2262753040441322 
80.0 30.256666666666668 0.22984444502286286 
85.0 32.21 0.2399228672675191 
90.0 34.16 0.24847203571160434 
95.0 36.093333333333334 0.24518944620375835 
100.0 37.98888888888889 0.2342782302573828 
