x timeAtArrived(x) CI/2 timeAtServed(x) CI/2 
0.0 0.0 0.0 0.0 0.0 
1.0 10.06988939541271 0.24979379018758185 17.22402677183566 0.2490311924173425 
2.0 20.034867195881137 0.24972598475657826 28.886413609185507 0.24990068076468555 
3.0 30.062166001114672 0.24998566426106375 39.46366452712862 0.24993280146275337 
4.0 40.01836857731742 0.24994963887006064 49.75605312214738 0.2499370969249347 
5.0 50.00650337293773 0.24988503913496105 59.86870081275452 0.249848840569417 
6.0 59.97466200754206 NaN 69.94741159842725 NaN 
7.0 69.94371469781184 NaN 79.97611778509558 NaN 
8.0 79.98871272452308 NaN 89.95774265430843 NaN 
9.0 90.0187020726831 NaN 100.0569130073484 NaN 
10.0 100.06643063552937 NaN 110.14948151431575 NaN 
