x stockAtTime(x) CI/2 
0.0 37.727111111111114 0.2484074554438517 
5.0 11.117428087986463 0.24941532391685287 
10.0 11.176701570680628 0.24998132913092866 
15.0 11.206476683937824 0.24959471262134328 
20.0 10.96081560283688 0.24989912731501446 
25.0 11.34559585492228 0.24956450844274666 
30.0 11.006578947368421 0.24921582049732938 
35.0 10.980335097001763 0.2496788919835531 
40.0 11.21168384879725 0.249641938423906 
45.0 11.36331615120275 0.24996229898406166 
50.0 11.183762886597938 0.24982840376147838 
55.0 11.18272884283247 0.24952940631213505 
60.0 11.258798646362099 0.2498932934080155 
65.0 11.27863247863248 0.24995564361363967 
70.0 11.211284722222222 0.24963812374219188 
75.0 10.97322695035461 0.2495165382514941 
80.0 11.135146804835925 0.24944576744303032 
85.0 11.06719298245614 0.24986295534026662 
90.0 11.251020408163265 0.24965524968144362 
95.0 11.22348877374784 0.24948017068497572 
100.0 11.03001745200698 0.24988891460837195 
