x timeAtSold(x) CI/2 
0.0 0.0 0.0 
5.0 1.0 0.0 
10.0 1.1333333333333333 0.1017902311926461 
15.0 1.3833333333333333 0.15551384184645367 
20.0 1.6166666666666667 0.16484349382868393 
25.0 1.95 0.15868468469403396 
30.0 2.2333333333333334 0.14838348536237528 
35.0 2.45 0.1765176310175619 
40.0 2.7333333333333334 0.23746392762697066 
45.0 3.1 0.1981520540461056 
50.0 3.3666666666666667 0.20448590948813328 
55.0 3.8583333333333334 0.21204528920980173 
60.0 4.108333333333333 0.20067811496735238 
65.0 4.4 0.20705816040745775 
70.0 4.766666666666667 0.21781709253006606 
75.0 5.041666666666667 0.23327747272267446 
80.0 5.4 0.24972153740100334 
85.0 5.644444444444445 0.19396494294578193 
90.0 5.977777777777778 0.19586332616411337 
95.0 6.311111111111111 0.20866898822018423 
100.0 6.622222222222222 0.2153019083344387 
