x restockAtTime(x) CI/2 
0.0 0.0 0.0 
5.0 1.45 0.19270734019143954 
10.0 3.4 0.226732763779347 
15.0 5.533333333333333 0.18405169813996242 
20.0 7.566666666666666 0.21781709253006568 
25.0 9.483333333333333 0.21823090537704096 
30.0 11.508333333333333 0.24475257728611421 
35.0 13.561111111111112 0.21308700175423803 
40.0 15.583333333333334 0.22658445210359845 
45.0 17.55 0.2450117106972088 
50.0 19.679166666666667 0.22853157467791946 
55.0 21.704166666666666 0.2349006201460552 
60.0 23.775 0.24257804158209031 
65.0 25.74 0.22121257601171515 
70.0 27.823333333333334 0.24384375047255633 
75.0 29.746666666666666 0.2439711932499464 
80.0 31.79722222222222 0.2331340127558041 
85.0 33.88611111111111 0.23939708316772515 
90.0 35.833333333333336 0.2363250001350102 
95.0 37.81666666666667 0.24652681813108387 
100.0 39.90833333333333 0.23306613340792068 
