x stockAtTime(x) CI/2 
0.0 37.4775641025641 0.24840802532419717 
5.0 25.113959390862945 0.24997316160006403 
10.0 25.4570796460177 0.2499334071629788 
15.0 25.53863287250384 0.24976049219103444 
20.0 25.298782343987824 0.24980163171705516 
25.0 25.24320987654321 0.24996834084917938 
30.0 25.351282051282052 0.249966130495466 
35.0 25.462538226299696 0.24953158830427166 
40.0 25.53843226788432 0.24989239615956832 
45.0 25.247575757575756 0.24993323679991067 
50.0 25.432721712538225 0.24947822002199757 
55.0 25.210708898944194 0.24992643428083788 
60.0 25.349850523168907 0.24957263078709915 
65.0 25.406363636363636 0.2496116807361997 
70.0 25.259090909090908 0.2494369316380612 
75.0 25.40681818181818 0.24997906208759924 
80.0 25.32659090909091 0.24982384842225502 
85.0 25.311544342507645 0.24996546860878813 
90.0 25.277727272727272 0.24984570765809314 
95.0 25.28206845238095 0.24972560892177817 
100.0 25.26090909090909 0.24950463727857491 
