x lostAtTime(x) CI/2 
0.0 0.0 0.0 
5.0 1.7093023255813953 0.24521355919791699 
10.0 5.236354166666667 0.24978656267507446 
15.0 8.72109471094711 0.24973375391581518 
20.0 12.253621291448516 0.24960180672732493 
25.0 15.729175187457397 0.2498759233822548 
30.0 19.16316082359488 0.2497806134964614 
35.0 22.704284369114877 0.2499903163654577 
40.0 26.215135834411385 NaN 
45.0 29.660327727468736 NaN 
50.0 33.166601983613624 NaN 
55.0 36.63210435532557 NaN 
60.0 40.07233721431651 NaN 
65.0 43.50364381198793 NaN 
70.0 46.99724018973696 NaN 
75.0 50.5127425614489 NaN 
80.0 54.00685640362225 NaN 
85.0 57.49092281155671 NaN 
90.0 60.96291504959034 NaN 
95.0 64.43777490297542 NaN 
100.0 67.93147908581285 NaN 
