x timeAtSold(x) CI/2 
0.0 0.0 0.0 
5.0 1.0 0.0 
10.0 1.1666666666666667 0.11159492319328339 
15.0 1.3833333333333333 0.15551384184645367 
20.0 1.7166666666666666 0.15551384184645367 
25.0 1.9333333333333333 0.1627909469411353 
30.0 2.2666666666666666 0.18021802714933569 
35.0 2.65 0.1798721852893701 
40.0 2.85 0.2032743722070841 
45.0 3.1 0.23000468994549425 
50.0 3.35 0.21748129873575633 
55.0 3.6 0.22004300424966391 
60.0 3.9583333333333335 0.16862589761286553 
65.0 4.183333333333334 0.24747919793026632 
70.0 4.508333333333334 0.19185206375998526 
75.0 4.716666666666667 0.1940729633933202 
80.0 4.941666666666666 0.1905307744994421 
85.0 5.3 0.2108577096278849 
90.0 5.591666666666667 0.21575703139009295 
95.0 5.958333333333333 0.22700507277365975 
100.0 6.183333333333334 0.219878368912016 
