x restockAtTime(x) CI/2 
0.0 0.0 0.0 
5.0 0.65 0.14282406391627178 
10.0 1.7833333333333334 0.15551384184645367 
15.0 2.9 0.20235332364384018 
20.0 4.0 0.23830154549282223 
25.0 5.2 0.17327894458069265 
30.0 6.375 0.18818021734079435 
35.0 7.416666666666667 0.2159033380623529 
40.0 8.533333333333333 0.23100387883930446 
45.0 9.583333333333334 0.21509516572516899 
50.0 10.722222222222221 0.21888125311474366 
55.0 11.88888888888889 0.23144124370543082 
60.0 13.083333333333334 0.2105879826991446 
65.0 14.220833333333333 0.2116174376930129 
70.0 15.325 0.22356315791884865 
75.0 16.475 0.23149297005137007 
80.0 17.541666666666668 0.2355684893925107 
85.0 18.641666666666666 0.24173410060734987 
90.0 19.745833333333334 0.24467143012589446 
95.0 20.783333333333335 0.2329522383554268 
100.0 21.85333333333333 0.24268221496024764 
